,GENE ID
290,ENSG00000241305
291,ENSG00000230581
292,ENSG00000259904
293,ENSG00000260298
294,ENSG00000259315
295,ENSG00000218475
296,ENSG00000237999
297,ENSG00000241547
298,ENSG00000232672
299,ENSG00000271615
300,ENSG00000230362
301,ENSG00000226359
302,ENSG00000234996
303,ENSG00000163017
304,ENSG00000136518
305,ENSG00000077080
306,ENSG00000187003
307,ENSG00000148156
308,ENSG00000117148
309,ENSG00000181786
310,ENSG00000288649
311,ENSG00000234667
312,ENSG00000188493
313,ENSG00000072110
314,ENSG00000259062
315,ENSG00000077522
316,ENSG00000248746
317,ENSG00000130402
318,ENSG00000213493
319,ENSG00000214141
320,ENSG00000229890
321,ENSG00000138107
322,ENSG00000233370
323,ENSG00000115073
324,ENSG00000138071
325,ENSG00000115091
326,ENSG00000133627
327,ENSG00000270242
328,ENSG00000226481
329,ENSG00000260327
330,ENSG00000249283
331,ENSG00000227264
332,ENSG00000280263
333,ENSG00000226444
334,ENSG00000106526
335,ENSG00000232267
336,ENSG00000242573
337,ENSG00000101442
338,ENSG00000075089
339,ENSG00000248915
340,ENSG00000113812
341,ENSG00000131966
342,ENSG00000123165
343,ENSG00000235239
344,ENSG00000169717
345,ENSG00000184378
346,ENSG00000115170
347,ENSG00000135503
348,ENSG00000123612
349,ENSG00000121989
350,ENSG00000114739
351,ENSG00000229589
352,ENSG00000139567
353,ENSG00000243989
354,ENSG00000132744
355,ENSG00000119640
356,ENSG00000170634
357,ENSG00000196839
358,ENSG00000093072
359,ENSG00000164113
360,ENSG00000270367
361,ENSG00000267511
362,ENSG00000140955
363,ENSG00000168803
364,ENSG00000229186
365,ENSG00000226469
366,ENSG00000104755
367,ENSG00000197475
368,ENSG00000260089
369,ENSG00000196115
370,ENSG00000271968
371,ENSG00000069206
372,ENSG00000253535
373,ENSG00000253643
374,ENSG00000151651
375,ENSG00000168615
376,ENSG00000137845
377,ENSG00000073670
378,ENSG00000148848
379,ENSG00000143537
380,ENSG00000151694
381,ENSG00000168619
382,ENSG00000135074
383,ENSG00000134007
384,ENSG00000259158
385,ENSG00000248574
386,ENSG00000249162
387,ENSG00000139985
388,ENSG00000235812
389,ENSG00000008277
390,ENSG00000114948
391,ENSG00000214607
392,ENSG00000042980
393,ENSG00000168594
394,ENSG00000134249
395,ENSG00000197140
396,ENSG00000149451
397,ENSG00000134028
398,ENSG00000154734
399,ENSG00000087116
400,ENSG00000156140
401,ENSG00000158859
402,ENSG00000154736
403,ENSG00000049192
404,ENSG00000136378
405,ENSG00000274376
406,ENSG00000261143
407,ENSG00000218052
408,ENSG00000134917
409,ENSG00000163638
410,ENSG00000241158
411,ENSG00000241684
412,ENSG00000142303
413,ENSG00000151388
414,ENSG00000160323
415,ENSG00000138316
416,ENSG00000166106
417,ENSG00000145536
418,ENSG00000250579
419,ENSG00000140470
420,ENSG00000140873
421,ENSG00000145808
422,ENSG00000249421
423,ENSG00000173157
424,ENSG00000178031
425,ENSG00000197859
426,ENSG00000156218
427,ENSG00000143382
428,ENSG00000203804
429,ENSG00000237781
430,ENSG00000185761
431,ENSG00000105963
432,ENSG00000184060
433,ENSG00000160710
434,ENSG00000197381
435,ENSG00000185736
436,ENSG00000205696
437,ENSG00000065457
438,ENSG00000189007
439,ENSG00000213638
440,ENSG00000063761
441,ENSG00000133597
442,ENSG00000173137
443,ENSG00000164742
444,ENSG00000078295
445,ENSG00000138031
446,ENSG00000129467
447,ENSG00000173175
448,ENSG00000174233
449,ENSG00000257660
450,ENSG00000121281
451,ENSG00000155897
452,ENSG00000162104
453,ENSG00000143199
454,ENSG00000161912
455,ENSG00000141433
456,ENSG00000078549
457,ENSG00000087274
458,ENSG00000075340
459,ENSG00000148700
460,ENSG00000203876
461,ENSG00000118492
462,ENSG00000237468
463,ENSG00000197177
464,ENSG00000256925
465,ENSG00000020181
466,ENSG00000152990
467,ENSG00000256616
468,ENSG00000181790
469,ENSG00000121753
470,ENSG00000135298
471,ENSG00000230910
472,ENSG00000111452
473,ENSG00000256151
474,ENSG00000180264
475,ENSG00000174837
476,ENSG00000127507
477,ENSG00000131355
478,ENSG00000268758
479,ENSG00000123146
480,ENSG00000153292
481,ENSG00000164393
482,ENSG00000173567
483,ENSG00000153294
484,ENSG00000069122
485,ENSG00000225730
486,ENSG00000227582
487,ENSG00000204818
488,ENSG00000205336
489,ENSG00000173698
490,ENSG00000182885
491,ENSG00000156920
492,ENSG00000159618
493,ENSG00000112414
494,ENSG00000144820
495,ENSG00000072071
496,ENSG00000267169
497,ENSG00000117114
498,ENSG00000150471
499,ENSG00000248692
500,ENSG00000162618
501,ENSG00000164199
502,ENSG00000187758
503,ENSG00000196616
504,ENSG00000248144
505,ENSG00000198099
506,ENSG00000197894
507,ENSG00000232676
508,ENSG00000223694
509,ENSG00000233859
510,ENSG00000234865
511,ENSG00000172955
512,ENSG00000196344
513,ENSG00000147576
514,ENSG00000182551
515,ENSG00000235102
516,ENSG00000250684
517,ENSG00000258369
518,ENSG00000182035
