,GENE ID
726,ENSG00000257173
727,ENSG00000140057
728,ENSG00000165695
729,ENSG00000155085
730,ENSG00000231824
731,ENSG00000121057
732,ENSG00000263004
733,ENSG00000111254
734,ENSG00000147081
735,ENSG00000179841
736,ENSG00000151320
737,ENSG00000118507
738,ENSG00000105127
739,ENSG00000011243
740,ENSG00000234146
741,ENSG00000127914
742,ENSG00000108599
743,ENSG00000023516
744,ENSG00000131016
745,ENSG00000170776
746,ENSG00000259367
747,ENSG00000186471
748,ENSG00000197976
749,ENSG00000214992
750,ENSG00000166452
751,ENSG00000174574
752,ENSG00000257786
753,ENSG00000228125
754,ENSG00000135334
755,ENSG00000251482
756,ENSG00000106948
757,ENSG00000162641
758,ENSG00000117448
759,ENSG00000085662
760,ENSG00000229991
761,ENSG00000213452
762,ENSG00000213785
763,ENSG00000237876
764,ENSG00000258685
765,ENSG00000225212
766,ENSG00000266899
767,ENSG00000231371
768,ENSG00000198074
769,ENSG00000213606
770,ENSG00000263355
771,ENSG00000227471
772,ENSG00000187134
773,ENSG00000151632
774,ENSG00000196139
775,ENSG00000198610
776,ENSG00000225418
777,ENSG00000151631
778,ENSG00000215267
779,ENSG00000264006
780,ENSG00000122787
781,ENSG00000227776
782,ENSG00000165568
783,ENSG00000053371
784,ENSG00000229020
785,ENSG00000224341
786,ENSG00000162482
787,ENSG00000211454
788,ENSG00000142208
789,ENSG00000204673
790,ENSG00000105221
791,ENSG00000117020
792,ENSG00000228939
793,ENSG00000166971
794,ENSG00000271137
795,ENSG00000226432
796,ENSG00000255376
797,ENSG00000148218
798,ENSG00000023330
799,ENSG00000158578
800,ENSG00000163631
801,ENSG00000170017
802,ENSG00000165092
803,ENSG00000128918
804,ENSG00000259285
805,ENSG00000184254
806,ENSG00000259583
807,ENSG00000137124
808,ENSG00000144908
809,ENSG00000250218
810,ENSG00000246022
811,ENSG00000136010
812,ENSG00000111275
813,ENSG00000108602
814,ENSG00000072210
815,ENSG00000006534
816,ENSG00000132746
817,ENSG00000159423
818,ENSG00000112294
819,ENSG00000119711
820,ENSG00000164904
821,ENSG00000251400
822,ENSG00000232292
823,ENSG00000243853
824,ENSG00000234489
825,ENSG00000118514
826,ENSG00000143149
827,ENSG00000161618
828,ENSG00000059573
829,ENSG00000149925
830,ENSG00000242849
831,ENSG00000214297
832,ENSG00000136872
833,ENSG00000109107
834,ENSG00000033011
835,ENSG00000189366
836,ENSG00000251287
837,ENSG00000251087
838,ENSG00000226943
839,ENSG00000238278
840,ENSG00000251271
841,ENSG00000227620
842,ENSG00000254978
843,ENSG00000254016
844,ENSG00000249889
845,ENSG00000250794
846,ENSG00000253981
847,ENSG00000250268
848,ENSG00000242017
849,ENSG00000119523
850,ENSG00000214160
851,ENSG00000251568
852,ENSG00000120697
853,ENSG00000088035
854,ENSG00000159063
855,ENSG00000086848
856,ENSG00000254450
857,ENSG00000139133
858,ENSG00000175548
859,ENSG00000253710
860,ENSG00000182858
861,ENSG00000101901
862,ENSG00000229487
863,ENSG00000172339
864,ENSG00000230427
865,ENSG00000171094
866,ENSG00000196711
867,ENSG00000189292
868,ENSG00000100601
869,ENSG00000189046
870,ENSG00000166199
871,ENSG00000244926
872,ENSG00000160993
873,ENSG00000091542
874,ENSG00000239382
875,ENSG00000125652
876,ENSG00000137760
877,ENSG00000151360
878,ENSG00000116127
879,ENSG00000230002
880,ENSG00000163016
881,ENSG00000012779
882,ENSG00000132965
883,ENSG00000108839
884,ENSG00000215067
885,ENSG00000179477
886,ENSG00000264958
887,ENSG00000262943
888,ENSG00000161905
889,ENSG00000179593
890,ENSG00000274114
891,ENSG00000188101
892,ENSG00000179148
893,ENSG00000275011
894,ENSG00000163286
895,ENSG00000163295
896,ENSG00000073331
897,ENSG00000198796
898,ENSG00000136383
899,ENSG00000162551
900,ENSG00000163283
901,ENSG00000003393
902,ENSG00000178038
903,ENSG00000180318
904,ENSG00000156150
905,ENSG00000052850
906,ENSG00000183684
907,ENSG00000242110
908,ENSG00000178522
909,ENSG00000106927
910,ENSG00000110497
911,ENSG00000123505
912,ENSG00000228339
913,ENSG00000237801
914,ENSG00000249286
915,ENSG00000215124
916,ENSG00000139344
917,ENSG00000162066
918,ENSG00000125363
919,ENSG00000099721
920,ENSG00000184675
921,ENSG00000165566
922,ENSG00000178171
923,ENSG00000159461
924,ENSG00000104899
925,ENSG00000135409
926,ENSG00000181754
927,ENSG00000139211
928,ENSG00000176020
929,ENSG00000101935
930,ENSG00000224142
931,ENSG00000144233
932,ENSG00000233273
933,ENSG00000166126
934,ENSG00000151743
935,ENSG00000126016
936,ENSG00000166025
937,ENSG00000114019
938,ENSG00000116748
939,ENSG00000116337
940,ENSG00000133805
941,ENSG00000078053
942,ENSG00000145020
943,ENSG00000187689
944,ENSG00000237763
945,ENSG00000174876
946,ENSG00000187733
947,ENSG00000243480
948,ENSG00000240038
949,ENSG00000227408
950,ENSG00000174945
951,ENSG00000196704
952,ENSG00000214174
953,ENSG00000219249
954,ENSG00000233807
955,ENSG00000153107
956,ENSG00000233673
957,ENSG00000231259
958,ENSG00000230395
959,ENSG00000234231
960,ENSG00000275597
961,ENSG00000235486
962,ENSG00000176248
963,ENSG00000053900
964,ENSG00000089053
965,ENSG00000196510
966,ENSG00000164162
967,ENSG00000213735
968,ENSG00000141552
969,ENSG00000129055
970,ENSG00000110200
971,ENSG00000231619
972,ENSG00000232601
973,ENSG00000166295
974,ENSG00000214274
975,ENSG00000013523
976,ENSG00000174606
977,ENSG00000154188
978,ENSG00000091879
979,ENSG00000101280
980,ENSG00000116194
981,ENSG00000136859
982,ENSG00000132855
983,ENSG00000167772
984,ENSG00000187151
985,ENSG00000130812
986,ENSG00000171819
987,ENSG00000130173
988,ENSG00000227059
989,ENSG00000029534
