,GENE NAME,GENE ID
765,ANP32E,ENSG00000143401
766,ANPEP,ENSG00000166825
767,ANTKMT,ENSG00000103254
768,ANTXR1,ENSG00000169604
769,ANTXR2,ENSG00000163297
770,ANTXRL,ENSG00000274209
771,ANXA1,ENSG00000135046
772,ANXA2,ENSG00000182718
773,ANXA2R,ENSG00000177721
774,ANXA3,ENSG00000138772
775,ANXA4,ENSG00000196975
776,ANXA5,ENSG00000164111
777,ANXA6,ENSG00000197043
778,ANXA7,ENSG00000138279
779,ANXA8,ENSG00000265190
780,ANXA8L1,ENSG00000264230
781,ANXA9,ENSG00000143412
782,ANXA10,ENSG00000109511
783,ANXA11,ENSG00000122359
784,ANXA13,ENSG00000104537
785,AOAH,ENSG00000136250
786,AOC1,ENSG00000002726
787,AOC2,ENSG00000131480
788,AOC3,ENSG00000131471
789,AOPEP,ENSG00000148120
790,AOX1,ENSG00000138356
791,AP1AR,ENSG00000138660
792,AP1B1,ENSG00000100280
793,AP1G1,ENSG00000166747
794,AP1G2,ENSG00000213983
795,AP1M1,ENSG00000072958
796,AP1M2,ENSG00000129354
797,AP1S1,ENSG00000106367
798,AP1S2,ENSG00000182287
799,AP1S3,ENSG00000152056
800,AP2A1,ENSG00000196961
801,AP2A2,ENSG00000183020
802,AP2B1,ENSG00000006125
803,AP2M1,ENSG00000161203
804,AP2S1,ENSG00000042753
805,AP3B1,ENSG00000132842
806,AP3B2,ENSG00000103723
807,AP3D1,ENSG00000065000
808,AP3M1,ENSG00000185009
809,AP3M2,ENSG00000070718
810,AP3S1,ENSG00000177879
811,AP3S2,ENSG00000157823
812,AP4B1,ENSG00000134262
813,AP4E1,ENSG00000081014
814,AP4M1,ENSG00000221838
815,AP4S1,ENSG00000100478
816,AP5B1,ENSG00000254470
817,AP5M1,ENSG00000053770
818,AP5S1,ENSG00000125843
819,AP5Z1,ENSG00000242802
820,APAF1,ENSG00000120868
821,APBA1,ENSG00000107282
822,APBA2,ENSG00000034053
823,APBA3,ENSG00000011132
824,APBB1,ENSG00000166313
825,APBB1IP,ENSG00000077420
826,APBB2,ENSG00000163697
827,APBB3,ENSG00000113108
828,APC,ENSG00000134982
829,APC2,ENSG00000115266
830,APCDD1,ENSG00000154856
831,APCDD1L,ENSG00000198768
832,APCS,ENSG00000132703
833,APEH,ENSG00000164062
834,APELA,ENSG00000248329
835,APEX1,ENSG00000100823
836,APEX2,ENSG00000169188
837,APH1A,ENSG00000117362
838,APH1B,ENSG00000138613
839,API5,ENSG00000166181
840,APIP,ENSG00000149089
841,APLF,ENSG00000169621
842,APLN,ENSG00000171388
843,APLNR,ENSG00000134817
844,APLP1,ENSG00000105290
845,APLP2,ENSG00000084234
846,APMAP,ENSG00000101474
847,APOA1,ENSG00000118137
848,APOA2,ENSG00000158874
849,APOA4,ENSG00000110244
850,APOA5,ENSG00000110243
851,APOB,ENSG00000084674
852,APOBEC1,ENSG00000111701
853,APOBEC2,ENSG00000124701
854,APOBEC3A,ENSG00000128383
855,APOBEC3B,ENSG00000179750
856,APOBEC3C,ENSG00000244509
857,APOBEC3D,ENSG00000243811
858,APOBEC3F,ENSG00000128394
859,APOBEC3G,ENSG00000239713
860,APOBEC3H,ENSG00000100298
861,APOBEC4,ENSG00000173627
862,APOBR,ENSG00000184730
863,APOC1,ENSG00000130208
864,APOC2,ENSG00000234906
865,APOC3,ENSG00000110245
866,APOC4,ENSG00000267467
867,APOD,ENSG00000189058
868,APOE,ENSG00000130203
869,APOF,ENSG00000175336
870,APOH,ENSG00000091583
871,APOL1,ENSG00000100342
872,APOL2,ENSG00000128335
873,APOL3,ENSG00000128284
874,APOL4,ENSG00000100336
875,APOL5,ENSG00000128313
876,APOL6,ENSG00000221963
877,APOLD1,ENSG00000178878
878,APOM,ENSG00000204444
879,APOO,ENSG00000184831
880,APOOL,ENSG00000155008
881,APP,ENSG00000142192
882,APPBP2,ENSG00000062725
883,APPL1,ENSG00000157500
884,APPL2,ENSG00000136044
885,APRT,ENSG00000198931
886,APTX,ENSG00000137074
887,AQP1,ENSG00000240583
888,AQP2,ENSG00000167580
889,AQP3,ENSG00000165272
